label,diff_ip_num,port_entropy,all_pkt_num,ack_num,ack_rate,syn_num,syn_rate,psh_num,psh_rate,all_pkt_bytes,avg_pkt_bytes,one_quarter,two_quarter,three_quarter
1,0,0.00219107,0.000992908,0.000945017,0.733333333,0.00082203,0.133333333,0.00475162,0.733333333,0.00028327,0.119605142,0.090068493,0.159530387,0.116490166
1,0,0.024608126,0.008156028,0.009278351,0.931034483,0.004110152,0.086206897,0.025053996,0.5,0.000918157,0.024449036,0.008219178,0.005524862,0.004034291
1,0,0.000173015,0.000496454,0.000515464,0.75,0,0,0.001727862,0.5,0.000154659,0.126033058,0.007191781,0.082527624,0.15128593
1,0,0.004192058,0.001914894,0.001718213,0.714285714,0.003288122,0.285714286,0.006911447,0.571428571,0.000451566,0.094942936,0.01369863,0.159530387,0.116490166
0,0.497826085,0.14636628,0,0,0.883156027,0.100822032,0,0.028293735,0.163297871,0,0.496658194,0.10821918,0,0.615078163
1,0,0.007495798,0.002411348,0.002061856,0.685714286,0.005343198,0.371428571,0.006911447,0.457142857,0.000492558,0.077292405,0.01369863,0.005524862,0.116490166
0,0.226086955,0.120098511,0.007730495,0.029381442,0.890789472,0.104110154,0.106578949,0,0,0.022618561,0.737707972,0.10821918,0.899999999,0.630206756
1,0,0.00716106,0.002269504,0.002061856,0.727272727,0.004110152,0.303030303,0.007775378,0.545454545,0.000517545,0.090950831,0.01369863,0.159530387,0.116490166
1,0,0.000634389,0.000212766,0.000343643,1,0,0,0.001727862,1,0.000159232,0.304407713,0.252054795,0.302486188,0.262228946
1,0,0.006334091,0.002198582,0.002061856,0.75,0.004932182,0.375,0.006911447,0.5,0.000476716,0.084366391,0.01369863,0.082527624,0.116490166
1,0,0.000403702,0.000212766,0.000343643,1,0.000411015,0.25,0.000863931,0.5,7.50E-05,0.126721763,0.012328767,0.125690608,0.179525971
1,0,0.001002927,0.00070922,0.000773196,0.818181818,0.001644061,0.363636364,0.002159827,0.454545455,0.00023403,0.140871525,0.01369863,0.005524862,0.196167423
1,0,0.005570546,0.00212766,0.002061856,0.774193548,0.003699137,0.290322581,0.006911447,0.516129032,0.000452137,0.081778192,0.01369863,0.005524862,0.116490166
0,0.073913042,0.108034243,0,0,0.8010989,0,0.231868133,0,0.097802196,0,0.241335938,0.10821918,0,0
0,0.128260868,0.114205022,0,0,0.856204378,0.110275382,0.191240877,0,0.104379561,0,0.378885405,0.10821918,0,0.287039837
1,0,0.024596095,0.008014184,0.00919244,0.938596491,0.003699137,0.078947368,0.02462203,0.5,0.000906071,0.024732976,0.008219178,0.005524862,0.004034291
1,0,0.07099251,0.011205674,0.002233677,0.163522013,0.055487053,0.849056604,0.00950324,0.13836478,0.001873875,0.056984944,0.01369863,0.005524862,0.004034291
1,0,0.006261689,0.001985816,0.001632302,0.655172414,0.004932182,0.413793103,0.005615551,0.448275862,0.00040347,0.076208796,0.01369863,0.005524862,0.116490166
0,0,0.100182817,0,0,0.733333332,0.100000001,0.100000001,0.102591794,0.600000001,0,0.11716024,0.10821918,0.110704421,0
1,0,0.000447238,0.00035461,0.000429553,0.833333333,0.00082203,0.333333333,0.000863931,0.333333333,8.64E-05,0.086317723,0.009589041,0.005524862,0.135653051
1,0,0.000403702,0.000212766,0.000343643,1,0,0,0.001295896,0.75,0.000130162,0.243112948,0.19109589,0.302486188,0.262228946
0,0.389130433,0.12695405,0,0.008934706,0.89295223,0.105343199,0.110180111,0,0,0.007398508,0.766660196,0.113698632,0.899999999,0.630206756
